account_id,name,industry,employee_count,region,created_at
acct_0000,Novavale Software,Media,50,LATAM,2022-10-03T00:00:00Z
acct_0001,Deltapeak Analytics,Fintech,3000,LATAM,2022-05-13T00:00:00Z
acct_0002,Deltagrove Analytics,Real Estate,500,NA,2022-12-29T00:00:00Z
acct_0003,Summitvale Capital,Energy,240,APAC,2022-06-13T00:00:00Z
acct_0004,Cedarfield Labs,Media,500,APAC,2023-05-09T00:00:00Z
acct_0005,Falconloop Software,EdTech,120,LATAM,2021-09-23T00:00:00Z
acct_0006,Onyxstone Logistics,Manufacturing,500,APAC,2021-09-05T00:00:00Z
acct_0007,Deltafield Labs,Manufacturing,25,NA,2021-01-25T00:00:00Z
acct_0008,Bluepeak Works,Healthcare,500,NA,2021-11-07T00:00:00Z
acct_0009,Falconwind Software,Fintech,240,LATAM,2025-02-07T00:00:00Z
acct_0010,Silvervale Dynamics,Retail,1200,LATAM,2025-02-13T00:00:00Z
acct_0011,Deltafork Capital,Real Estate,1200,APAC,2024-12-27T00:00:00Z
acct_0012,Orbitwind Systems,Healthcare,240,LATAM,2023-12-30T00:00:00Z
acct_0013,Novaline Media,Healthcare,25,NA,2020-11-09T00:00:00Z
acct_0014,Ridgefield Health,Energy,50,EMEA,2022-01-06T00:00:00Z
acct_0015,Silverfork Capital,Logistics,25,LATAM,2022-11-05T00:00:00Z
acct_0016,Northfield Group,Logistics,50,NA,2023-05-27T00:00:00Z
acct_0017,Crestgate Capital,EdTech,50,NA,2023-05-13T00:00:00Z
acct_0018,Crestfield Logistics,Energy,50,LATAM,2022-11-06T00:00:00Z
acct_0019,Aspenwind Dynamics,Real Estate,120,LATAM,2023-05-12T00:00:00Z
acct_0020,Quantwave Industries,EdTech,3000,EMEA,2023-10-10T00:00:00Z
acct_0021,Crestloop Media,Fintech,50,LATAM,2024-10-05T00:00:00Z
acct_0022,Ironpeak Health,EdTech,120,APAC,2023-11-11T00:00:00Z
acct_0023,Silverfield Capital,Manufacturing,500,EMEA,2021-11-07T00:00:00Z
acct_0024,Silverwind Media,Manufacturing,3000,EMEA,2024-05-03T00:00:00Z
acct_0025,Summitriver Works,Healthcare,500,EMEA,2020-06-22T00:00:00Z
acct_0026,Cobaltgate Logistics,SaaS,1200,NA,2025-05-07T00:00:00Z
acct_0027,Bluevale Industries,Manufacturing,120,LATAM,2025-04-01T00:00:00Z
acct_0028,Vertexpeak Software,Real Estate,25,NA,2024-02-26T00:00:00Z
acct_0029,Deltapeak Networks,EdTech,120,NA,2021-03-01T00:00:00Z
acct_0030,Atlasloop Group,Logistics,1200,EMEA,2022-04-25T00:00:00Z
acct_0031,Crestshore Dynamics,Healthcare,1200,APAC,2022-09-08T00:00:00Z
acct_0032,Northline Capital,Energy,120,EMEA,2023-07-04T00:00:00Z
acct_0033,Northpeak Analytics,Retail,240,EMEA,2020-09-12T00:00:00Z
acct_0034,Crestgate Labs,Logistics,3000,NA,2022-11-22T00:00:00Z
acct_0035,Cedarpeak Software,Real Estate,3000,EMEA,2022-11-28T00:00:00Z
acct_0036,Harborwind Robotics,Media,1200,APAC,2023-03-20T00:00:00Z
acct_0037,Graniteloop Systems,Fintech,120,EMEA,2021-09-26T00:00:00Z
acct_0038,Ironfield Dynamics,Real Estate,120,APAC,2022-04-29T00:00:00Z
acct_0039,Birchfork Logistics,Fintech,240,APAC,2022-02-22T00:00:00Z
acct_0040,Falconspark Foods,Logistics,240,APAC,2024-12-17T00:00:00Z
acct_0041,Falconvale Networks,EdTech,25,LATAM,2022-03-28T00:00:00Z
acct_0042,Birchgrove Networks,Real Estate,240,LATAM,2023-09-22T00:00:00Z
acct_0043,Creststone Networks,SaaS,25,APAC,2024-03-16T00:00:00Z
acct_0044,Granitefork Works,Real Estate,25,APAC,2022-08-17T00:00:00Z
acct_0045,Maplepeak Analytics,Retail,120,EMEA,2024-03-04T00:00:00Z
acct_0046,Maplepeak Retail,Retail,1200,APAC,2023-05-07T00:00:00Z
acct_0047,Orbitfield Media,Logistics,120,LATAM,2022-03-18T00:00:00Z
acct_0048,Bluegate Group,Real Estate,1200,APAC,2022-12-11T00:00:00Z
acct_0049,Blueline Works,EdTech,3000,APAC,2022-10-31T00:00:00Z
acct_0050,Mapleloop Health,Retail,50,LATAM,2021-04-23T00:00:00Z
acct_0051,Atlasgrove Capital,EdTech,50,NA,2023-05-17T00:00:00Z
acct_0052,Deltastone Systems,Retail,25,APAC,2021-08-09T00:00:00Z
acct_0053,Cedarfork Industries,Media,500,LATAM,2020-12-08T00:00:00Z
acct_0054,Quantpeak Logistics,Healthcare,1200,APAC,2020-12-06T00:00:00Z
acct_0055,Ironline Media,Media,500,EMEA,2020-09-17T00:00:00Z
acct_0056,Novafork Labs,Real Estate,500,EMEA,2024-05-30T00:00:00Z
acct_0057,Bluestone Capital,Logistics,3000,LATAM,2020-06-17T00:00:00Z
acct_0058,Copperriver Systems,Manufacturing,3000,NA,2024-02-28T00:00:00Z
acct_0059,Copperriver Software,EdTech,25,EMEA,2022-03-21T00:00:00Z
acct_0060,Silverriver Labs,Manufacturing,25,LATAM,2025-01-15T00:00:00Z
acct_0061,Northgrove Foods,Real Estate,500,APAC,2020-12-25T00:00:00Z
acct_0062,Cobaltbridge Labs,EdTech,25,APAC,2024-12-10T00:00:00Z
acct_0063,Northfield Industries,Manufacturing,1200,NA,2023-08-23T00:00:00Z
acct_0064,Ironbridge Robotics,Logistics,25,EMEA,2024-11-08T00:00:00Z
acct_0065,Cedarfield Systems,Media,50,EMEA,2022-08-29T00:00:00Z
acct_0066,Novaspark Labs,EdTech,120,LATAM,2023-03-11T00:00:00Z
acct_0067,Mapleriver Robotics,Retail,120,APAC,2021-08-18T00:00:00Z
acct_0068,Copperfield Industries,Fintech,240,LATAM,2022-05-22T00:00:00Z
acct_0069,Ironshore Logistics,Logistics,1200,NA,2023-02-06T00:00:00Z
acct_0070,Orbitwind Retail,Retail,3000,NA,2020-11-18T00:00:00Z
acct_0071,Crestwind Systems,Media,3000,NA,2020-06-02T00:00:00Z
acct_0072,Ironfield Group,Energy,500,NA,2022-06-19T00:00:00Z
acct_0073,Harborshore Robotics,Retail,1200,NA,2020-11-25T00:00:00Z
acct_0074,Crestvale Software,Logistics,240,LATAM,2024-07-31T00:00:00Z
acct_0075,Novafield Logistics,Healthcare,1200,EMEA,2021-11-03T00:00:00Z
acct_0076,Granitefield Industries,Media,1200,EMEA,2023-08-08T00:00:00Z
acct_0077,Northfork Group,Healthcare,240,LATAM,2022-06-08T00:00:00Z
acct_0078,Orbitgrove Health,Manufacturing,120,NA,2022-10-04T00:00:00Z
acct_0079,Northspark Capital,Manufacturing,1200,NA,2023-09-13T00:00:00Z
acct_0080,Cedarpeak Analytics,Fintech,3000,EMEA,2025-01-19T00:00:00Z
acct_0081,Silvervale Industries,Energy,25,LATAM,2020-11-29T00:00:00Z
