account_id,outcome,labeled_at
acct_0002,lost,2026-01-04T00:00:00Z
acct_0006,lost,2026-03-09T00:00:00Z
acct_0007,won,2025-12-30T00:00:00Z
acct_0011,lost,2026-05-10T00:00:00Z
acct_0013,won,2026-01-13T00:00:00Z
acct_0018,won,2026-03-08T00:00:00Z
acct_0020,lost,2026-03-27T00:00:00Z
acct_0022,lost,2026-04-27T00:00:00Z
acct_0027,lost,2026-01-30T00:00:00Z
acct_0030,won,2026-03-26T00:00:00Z
acct_0034,lost,2025-11-17T00:00:00Z
acct_0038,won,2025-12-05T00:00:00Z
acct_0048,lost,2025-11-16T00:00:00Z
acct_0049,lost,2026-02-18T00:00:00Z
acct_0053,won,2025-11-23T00:00:00Z
acct_0054,lost,2025-11-21T00:00:00Z
acct_0062,lost,2026-04-01T00:00:00Z
acct_0068,lost,2026-01-20T00:00:00Z
acct_0075,lost,2026-03-14T00:00:00Z
acct_0079,lost,2025-12-15T00:00:00Z
acct_0081,lost,2026-01-06T00:00:00Z
acct_0086,lost,2025-12-04T00:00:00Z
acct_0087,lost,2026-02-20T00:00:00Z
acct_0092,lost,2025-11-19T00:00:00Z
acct_0098,lost,2026-03-15T00:00:00Z
acct_0102,won,2026-01-21T00:00:00Z
acct_0104,lost,2026-03-11T00:00:00Z
acct_0106,lost,2025-12-31T00:00:00Z
acct_0108,lost,2026-02-01T00:00:00Z
acct_0110,won,2026-04-27T00:00:00Z
acct_0115,won,2025-11-16T00:00:00Z
acct_0116,won,2026-03-13T00:00:00Z
acct_0118,lost,2025-11-12T00:00:00Z
acct_0119,won,2026-01-05T00:00:00Z
acct_0123,lost,2026-03-15T00:00:00Z
acct_0125,won,2025-12-01T00:00:00Z
acct_0136,lost,2025-12-04T00:00:00Z
acct_0138,won,2026-02-22T00:00:00Z
acct_0142,won,2026-02-17T00:00:00Z
acct_0145,lost,2025-12-26T00:00:00Z
acct_0146,lost,2026-01-19T00:00:00Z
acct_0154,won,2026-03-17T00:00:00Z
acct_0159,won,2026-01-23T00:00:00Z
acct_0165,won,2025-12-02T00:00:00Z
acct_0171,won,2026-05-07T00:00:00Z
acct_0175,won,2026-03-30T00:00:00Z
acct_0177,won,2025-12-28T00:00:00Z
acct_0185,won,2026-04-16T00:00:00Z
acct_0191,won,2025-12-01T00:00:00Z
acct_0198,lost,2025-11-26T00:00:00Z
